TIMESTAMP;ET;T_CEC;T_REA;T_FVS
20171110;-9999;-9999;-9999;-9999
20171111;0.5065466929865456;0.11278840089667995;0.1473576937225859;-9999
20171112;0.409277232766801;0.18348785129241807;0.2257082361074933;-9999
20171113;0.40753402759933105;0.21627073312276782;0.21621023872641068;-9999
20171114;0.7398729253953235;0.20382822099021805;0.2192547796920301;0.4227692081187556
20171115;0.6227780256139973;0.095382425265136;0.09172827554657594;-9999
20171116;-9999;-9999;-9999;-9999
20171117;0.8350843148267466;0.12929960847614014;0.15325267433091974;-9999
20171118;0.37495169231576125;0.1325638983771276;-9999;-9999
20171119;0.3382546266286697;0.1425109951783621;0.16786942896078635;0.2707131864088355
20171120;0.4229263622709543;0.060487053755110126;0.122455104159054;0.31636700586709987
20171121;0.17946131399706566;0.06335946323337469;0.08491658381023587;-9999
20171122;0.38007264646234;0.08909054348369146;0.11338580430008781;-9999
20171123;0.19650182281978068;0.060444055442277565;-9999;-9999
20171124;0.40575782425515;0.12293512392920743;-9999;-9999
20171125;0.33503646945551196;0.1264547753692301;0.10634820673925083;-9999
20171126;0.19249057639184267;0.07676305072026544;-9999;-9999
20171127;0.60454067832124;0.3003377145887406;0.3137663741700018;-9999
20171128;0.4154567247691167;0.16544869308229446;0.18664816476229534;0.2581030365569925
20171129;0.3782440518581756;0.22312793338583564;-9999;-9999
20171130;0.325206273370628;0.1346527979626296;0.15381869177130586;-9999
20171201;-9999;-9999;-9999;-9999
20171202;0.281044387588667;0.13433582607908467;0.14842348293388907;-9999
20171203;0.6846964989849385;0.3352604019975707;0.38143762860925823;0.36872688089740374
20171204;0.8182104067504397;0.39824404766695026;0.36244615193500773;-9999
20171205;0.34377030055392727;0.21709055204716093;0.20625772221615019;0.2576663338872851
20171206;0.33616435754585233;0.20639197464800937;0.21133199871687747;-9999
20171207;0.315022429236941;0.18474238593665612;0.17370400175838133;0.2470437157575662
20171208;0.30878189669766765;0.16735836440771729;0.1595006966832923;0.25867616971881296
20171209;0.221400097709877;0.11815356735534785;-9999;-9999
20171210;0.30243895421391737;0.18875710627344086;0.2055917315493169;-9999
20171211;0.28818581439073604;0.18415642534460192;0.19203793996356108;-9999
20171212;0.284710690182849;0.19302149486124973;-9999;-9999
20171213;0.270477331639429;0.1659092835166111;0.1722044320763864;-9999
20171214;0.28975108860997434;0.18035837851822664;0.1780677275944783;-9999
20171215;0.21648312783786464;0.10625251517829727;0.10587759723488538;-9999
20171216;1.1978986115469799;0.44894533752275007;0.4676321320691231;-9999
20171217;0.22076482646130033;0.12644545305554597;0.13010580110124115;-9999
20171218;0.3443400137652966;0.15171110326293477;0.16871501053817858;0.22993399241267387
20171219;0.295426928897288;0.123093312961409;0.13111602821523344;-9999
20171220;0.9940636596092797;0.2681588368784921;0.35461523615220014;-9999
20171221;0.4008386714427447;0.25872888310958414;0.2761692869699131;-9999
20171222;0.2888209984170576;0.1243929066682727;0.14168568878529697;-9999
20171223;0.200955257078455;0.08251338282264423;0.09389134315103054;-9999
20171224;0.24660740596528666;0.07667765559219894;0.07490426671439537;0.16558631841278545
20171225;0.20423432980076098;0.09674131338805436;0.10828877896871054;-9999
20171226;0.30559559416928467;0.10834066125893178;0.12375271443060612;-9999
20171227;0.3300835528437347;0.14068861581173647;0.16508852892127832;-9999
20171228;0.2564005898589364;0.14931256094157844;0.1540674984695635;-9999
20171229;0.20101331932535435;0.11389458550338317;0.15358222244003608;-9999
20171230;0.26331913965216364;0.12748561447113893;0.16994696762452233;-9999
20171231;0.263360587634964;0.16013025447274884;0.16628053730496303;-9999
20180101;0.2565734528901524;0.0904904450906001;0.10585476473048398;0.18776280747936078
20180102;0.15879148492700698;0.07677856771785672;0.08389379096322004;-9999
20180103;0.20390107531538268;0.09630147783472476;0.10339553797585564;-9999
20180104;0.6827157214962206;0.31438805742114095;0.3087300707929634;-9999
20180105;0.5714331415285594;0.09512476631405598;-9999;-9999
20180106;0.7337166486194807;0.35417013983847073;0.41897910503758773;-9999
20180107;0.10396571810630767;0.016310919297212047;0.02997283414547716;-9999
20180108;-9999;-9999;-9999;-9999
20180109;-9999;-9999;-9999;-9999
20180110;0.6382267413443506;0.2662039269140291;0.28427265514145383;-9999
20180111;0.4654693939450803;0.2848119269574524;0.28430076608554167;-9999
20180112;0.4105302468544963;0.2759238075665627;0.2687983878231192;-9999
20180113;0.19403582192676364;0.052500043163435955;0.06821903439048316;0.1109005109703086
20180114;0.29648655499505705;0.11864803587967816;0.12384704052057127;-9999
20180115;0.23113247544196;0.13386643223423508;0.13820897778340277;-9999
20180116;-9999;-9999;-9999;-9999
20180117;0.27538502146825333;0.17059034586854005;0.17488810820349424;-9999
20180118;0.36626764805715567;0.21047237191201;0.20160940996043453;-9999
20180119;0.9265074743412752;0.7846869832969914;0.7844868988597611;-9999
20180120;0.846859002178482;0.7124070917611257;0.7171631173265135;-9999
20180121;0.5407158167701366;0.3487880817907408;0.35466029805468835;-9999
20180122;0.532344896459842;0.39801925630987073;0.39840512208910367;-9999
20180123;0.6540905699364941;0.5139020243683344;0.5133752904818208;0.39118263489421456
20180124;0.3838481991711647;0.25504932895917326;0.2509262499641611;-9999
20180125;-9999;-9999;-9999;-9999
20180126;0.6818461791313594;0.5854773655013913;0.5823301116418906;0.4013615714328177
20180127;1.0281838699742636;0.7994208344301738;0.7889406025435027;0.6768993039847336
20180128;0.5976793276442284;0.5048950941323529;0.5049141708986333;-9999
20180129;0.3103363547796023;0.2473778076639357;0.24395088273351945;-9999
20180130;0.6278479569462109;0.4854212197895316;0.5056199500075543;-9999
20180131;0.7405275189171157;0.526833034245653;0.524790930446342;-9999
20180201;0.7397002311404983;0.6157832664314524;0.6174407003542229;0.5566817290480249
20180202;0.6569517343329103;0.5734954786072822;0.569899443550611;0.510045400445325
20180203;0.5779141440120684;0.5003368358588302;0.4988982829459429;-9999
20180204;0.6886180024338949;0.5729366215595428;0.5683980754606124;0.5421360152339407
20180205;0.6558832842054917;0.5265150389401572;0.5369636914480818;-9999
20180206;0.9812263469574747;0.7351581308248906;0.7343191156935629;0.6911154055760415
20180207;0.868332485377246;0.7408726158536809;0.7271537804318162;0.7668735156959785
20180208;0.7082012510417907;0.5344066003538912;0.5136106435351107;0.5556232968576951
20180209;0.6965537019225243;0.6120175418010253;0.6050158241025616;-9999
20180210;1.1583591924649232;0.756814041968412;0.7292820292668944;0.9157616075793423
20180211;0.6564053185837487;0.45841452463699767;0.44322227109872164;-9999
20180212;0.7323830507069043;0.6004597213030103;0.6031142955621264;-9999
20180213;0.682892337440035;0.5981230385013366;0.5956962288263843;0.5516859237226284
20180214;0.6688142633255807;0.5645371115333906;0.5463433157323931;-9999
20180215;0.956020505785054;0.8950690460758887;0.8843790245867692;0.83944944094913
20180216;0.9047007870497735;0.7639524984589435;0.7537054802262448;0.703336543239325
20180217;0.8483085365348454;0.7880072703476042;0.7851306811425004;0.6189281056668218
20180218;1.2428721855187634;1.0233756881120002;0.9806832197777045;-9999
20180219;0.9236884810757774;0.8044596319456779;0.7945142523181621;0.7310051668762303
20180220;0.699208661544687;0.5593664960116214;0.5375162673400505;0.4961257295971817
20180221;0.8078493107585296;0.6251700205679926;0.6142938221074322;0.667402137723552
20180222;0.816303934179652;0.5741783178897413;0.5874887831262233;0.6486152030875354
20180223;0.7711091913510287;0.6127336572383769;0.5946864887835788;0.6193365936826121
20180224;0.5728568803181876;0.448971507681948;0.4287725154227768;0.47490627465531887
20180225;0.687680162740723;0.5724740370341133;0.5611830077406356;0.5310276434741776
20180226;-9999;-9999;-9999;-9999
20180227;1.6985253054132567;1.4796366825810197;1.4948682489518115;1.007269288151151
20180228;1.0854996406260733;0.8293988097244303;0.8308399491398331;-9999
20180301;-9999;-9999;-9999;-9999
20180302;-9999;-9999;-9999;-9999
20180303;1.3288498000624598;1.1324020434665425;1.1087606472582998;-9999
20180304;1.1488110032601933;1.005226468103652;1.0005421606860427;0.7994694092587383
20180305;1.6024302072133765;1.3515165923517598;1.3520014015565545;0.901457862811907
20180306;1.1857495322777734;1.0360470429547133;1.0293517037971376;0.7600936361945547
20180307;1.3441568957494867;1.0382513824108037;1.0437099819115203;0.8584890795878419
20180308;1.6254828986027665;1.4549223545735162;1.4507991462238308;1.1073074700065006
20180309;1.20468808116703;0.9938158690063906;1.0272757849147265;0.9220030172388038
20180310;0.3833446052466007;0.2537535624670919;0.26335311874766226;0.31184407486888543
20180311;1.0239192514293167;0.9186522040682685;0.9206756338556455;-9999
20180312;1.1297167662233365;0.806098520648085;0.7416964420877606;-9999
20180313;-9999;-9999;-9999;-9999
20180314;1.2779342948799766;0.5696720839754875;-9999;-9999
20180315;1.3261964268528768;0.427098145130251;-9999;0.7790429996490678
20180316;-9999;-9999;-9999;-9999
20180317;1.7267890032459399;1.4300601254928944;1.4329696063576323;1.2176197040448833
20180318;1.04790083875325;0.9182877568996873;0.9190121624260675;0.7075610293334625
20180319;1.3822646215358934;1.2308538856299216;1.2323197654593956;1.1465092478947259
20180320;0.8141265034723176;0.06013665120695276;-9999;-9999
20180321;1.5860067673855534;0.6290273364674676;0.5447108314818304;-9999
20180322;1.8532387289551833;1.3851464907277584;1.7517953146893332;-9999
20180323;1.9646197686657498;1.654009931961336;1.6509665625237213;1.3357775248412118
20180324;-9999;-9999;-9999;-9999
20180325;2.084010449729256;1.8480575014989213;1.8338601151354563;1.6083645547032384
20180326;2.7314451010629868;2.3989627841659136;2.3946377970206716;1.8144358767515874
20180327;1.4218664922065667;1.1457815277466292;1.1426748488231626;1.116348906549781
20180328;1.3481079004234402;0.9549453493642535;0.9905853175940824;1.0163312488267418
20180329;1.23362241557004;0.7747880787010731;0.7844562099950276;0.8341233343670655
20180330;1.13929750738728;0.7905444360446219;0.8180858119710409;0.6707047198206509
20180331;1.4092290221522765;1.0166456906968804;0.9954822027212289;0.953143390644289
20180401;1.4055720797390936;1.0939396075398502;1.031180738613347;0.8248942153140316
20180402;1.8936000129887933;1.5925120914901283;1.5844063480456547;1.2769577583740381
20180403;1.78656804009547;1.5680687677323444;1.5512855417091982;1.1879619734683509
20180404;1.7324083942459367;1.4588385647644084;1.4490838583528236;1.1463988712725435
20180405;1.1274037901397032;0.7514206171632277;0.7277526894627516;0.7365151788883171
20180406;-9999;-9999;-9999;-9999
20180407;2.6736258990040196;1.994100905356828;2.1242879979833984;-9999
20180408;2.56589199751526;2.3165795844082555;2.351730872479579;1.4971835719971733
20180409;1.78512925216449;1.4130390158785222;1.4009448347071163;-9999
20180410;1.5096642268749134;1.215266410263775;1.2423873674214843;1.096981590376655
20180411;2.0327335579572865;1.4880261640054004;1.4618897550386742;-9999
20180412;2.12110975927023;1.918005291537087;1.9100464964073263;-9999
20180413;2.312992682079893;2.194808310338111;2.187936444436407;1.7371767921093346
20180414;1.9616892498180931;1.7094188334764384;1.7210511625728517;1.4167022533189038
20180415;2.519001908546517;2.032894215796408;2.050358563969975;2.019913995107127
20180416;-9999;-9999;-9999;-9999
20180417;2.4075843529660665;2.133446781047164;2.156388555099099;1.6001653203174662
20180418;1.2662599027147199;0.9696956860102087;0.9618499002589577;0.9802565679464336
20180419;2.6789171558916838;2.456990138215313;2.4432850740059715;1.953702137581313
20180420;2.3943655971624334;2.171442191752177;2.1716315963933184;1.6035279830927764
20180421;1.6953573019504031;1.0977969294435266;1.1962520199652702;1.058547729337104
20180422;1.6193774438357933;1.127808001608067;1.1542437690530851;1.1696635339628267
20180423;1.6739479986500199;1.1303555641802545;1.123824992630457;1.0173654048537182
20180424;1.8585428741542234;1.4715076519029786;1.491464856859625;1.2021571859356692
20180425;2.4239197381088466;1.9763386226688051;1.9993297655496334;1.5825294052680932
20180426;2.1873849679750066;1.888318981717841;1.902199694503591;1.461922845692087
20180427;1.8061639534450566;1.5092842644235742;1.5147417715029103;1.4775796580570966
20180428;1.7112119106125234;1.4540398352780473;1.4396315936238717;1.3026264247278063
20180429;1.2598986163787098;1.034259455791339;1.0151683389237331;0.9810690103512731
20180430;1.77861177626004;1.4341534206507103;1.5543600118039989;1.4142345535686742
20180501;2.4240098532036236;1.8303243734171268;1.8439998068303074;1.70060184902284
20180502;1.8620607444537465;1.7478835854002601;1.7405251890764557;1.3853524217860258
20180503;1.8556160283302365;1.7772778830954907;1.785324823187345;1.4425756264549343
20180504;2.318316097716876;2.186329060931133;2.165569933174524;1.6882022025112335
20180505;1.92336111616134;1.7684941946914723;1.768964476114346;1.5256775201428534
20180506;2.26064272304346;2.1079165226576473;2.104439830534688;1.9476653591439124
20180507;2.6242258436598136;2.4228384752092658;2.4152046494312565;2.2497316190500674
20180508;2.859547343318427;2.5911209833604176;2.60057676855853;2.187852117161675
20180509;2.5384247878643236;2.321152027891873;2.311588352062591;2.0636236274600432
20180510;2.3824423884544665;2.2461798642271935;2.250231862862605;1.9867354067999863
20180511;3.21619707198186;2.702818465470469;2.740831467984446;-9999
20180512;3.1868592393813002;2.9856300299605243;3.0188570541684827;2.618317072790035
20180513;2.2004215843531703;2.1088482280148133;2.104526152735105;1.9487720821657781
20180514;2.0656480686503005;1.991940760618648;1.9823555886803532;1.8108296528996275
20180515;2.196592488580423;2.0853073518529284;2.0830000052579445;2.062282386582022
20180516;2.0072509730268266;1.313968533277934;1.2517315053898155;1.3341344519064944
20180517;2.740652445667427;2.5645165105269982;2.5654985169401;2.2920339988710765
20180518;2.773583746257643;2.6195977028670128;2.614015616876063;2.3442960440142095
20180519;2.75607159360343;2.6021381907585526;2.666971341643033;2.6438481541085843
20180520;2.2546676012524096;2.134039994970096;2.135491205463968;2.1488303194775726
20180521;2.5105734994329936;2.350418569051395;2.357623500901189;2.140999585002093
20180522;2.7622420521287836;2.6816954225224805;2.682481534652812;-9999
20180523;2.4781011000862265;2.397180024517852;2.399920109183282;2.2777847560393822
20180524;2.6949068773274267;2.538789199956458;2.5237556821763185;2.478534784170614
20180525;1.3635723054198567;1.139247970009116;1.1462604043996274;0.855514246312529
20180526;2.43445731902357;2.214415209802115;2.220652396331231;1.936009311223496
20180527;3.117745973029107;2.939419647367434;2.942348925217284;2.5139231308182524
20180528;3.5416165417733;3.3649140787177045;3.3679686977260466;3.120835023365746
20180529;4.518144156277256;3.940854324995608;3.8961894496733067;4.205389753770564
20180530;3.1487157114898263;2.944061799635295;2.9200067926764426;2.919901615866499
20180531;2.543973075775097;2.395577581785718;2.3861357803260685;2.340370200649329
20180601;3.107434654458307;3.0281153091845563;3.023035890837233;2.7013717317670602
20180602;3.338036423766687;3.2503961204366716;3.238028571004819;2.8754094748733086
20180603;4.0112321453780995;3.858863167321946;3.8358062151008085;3.392589916985825
20180604;4.340295556132746;3.717853889588266;3.6672787966351925;4.053789058791872
20180605;3.4499694863189263;3.041833778720674;2.9884506872019183;3.3489058979113477
20180606;2.98744019408502;2.7395593906205846;2.7271113716330007;2.9054335872516095
20180607;3.0769703135277866;2.831776460474202;2.8344748107163382;2.927995470041886
20180608;3.4902945020600136;3.2381091369058566;3.2384771937730066;3.186504134480773
20180609;2.6694455801595534;2.526795573627546;2.509182392139801;-9999
20180610;3.2974096804466932;3.1065371039946417;3.1105223905197543;3.0943297251948416
20180611;3.1814531211511565;3.122772981390019;3.128406524791356;2.9635697870799
20180612;3.410084190896814;3.2709059510258482;3.263242518239733;3.063603523723622
20180613;3.6109887259381335;3.3371493195722315;3.3196128499133475;3.062753798232037
20180614;3.3897220877279595;3.0257753090651756;2.9840970148134143;3.258611294999905
20180615;2.83823562953274;2.4574261662399115;2.4110810039605495;2.8171115482881954
20180616;2.5473355275057465;2.437433037489255;2.449720928649834;2.497824610092692
20180617;1.8983253539333067;1.840591181509296;1.8480590526862914;-9999
20180618;2.546306678363147;2.408839285135288;2.41176523364102;2.3051524602663886
20180619;2.6080673662037834;2.487099861830813;2.484074557329748;2.2906864724554006
20180620;2.9257614880156226;2.760126863384888;2.7457865278389395;2.6051865739999482
20180621;2.79348930476543;2.736056955464011;2.730912713163266;2.622329242442652
20180622;3.2512535911267464;3.0224446384413954;3.009202245111115;-9999
20180623;3.4723009789978527;3.230038166210384;3.2232161643636683;3.091519874448395
20180624;2.639709669677923;2.484673787388902;2.4736378213762604;2.587631937840519
20180625;2.1601983171944465;2.1011250556269294;2.1030608372628157;-9999
20180626;2.3615826914659763;2.245314078217675;2.2332490316009936;-9999
