TIMESTAMP;ET;T_CEC;T_REA;T_FVS
20180408;-9999;-9999;-9999;-9999
20180409;2.13462021829925;1.980472487686872;1.974273092645381;1.3064622011986848
20180410;3.0933108833609997;2.6701369888857815;2.6478839098913585;-9999
20180411;2.7441693609600564;2.1988705296862787;2.147372173336812;-9999
20180412;2.7614179454570036;2.3004233095784126;2.287325088380416;-9999
20180413;1.70177862687771;1.280912049891749;1.2899581827266389;1.2599504145767872
20180414;1.5944191966311767;0.6240604807397524;0.7215836118535836;0.9520776976757406
20180415;1.66036346305821;0.7337511245544834;0.7498773670642256;0.9738569680890019
20180416;1.4349458139087268;0.8158255711666779;0.8290928098936898;-9999
20180417;1.9552904900122534;1.3549497320594974;1.4021695516303794;0.9851363294232319
20180418;1.3608027536561664;0.7769509467413175;0.8030199027084844;-9999
20180419;2.4077442647805634;1.7538338517588539;1.7600886470529855;-9999
20180420;2.1326570258831663;1.5290942480920258;1.5879862527007795;1.2268979588674027
20180421;2.2369077609527297;1.5774381254865408;1.6536540841732565;-9999
20180422;2.3113704473968535;1.4213982318134373;1.4990846290874515;-9999
20180423;2.6082947529655933;1.7919278463654822;1.855419356338633;1.6388056411312037
20180424;2.81561835097191;1.9706957803675216;2.011128525515962;-9999
20180425;3.1431680190400564;2.4160224506754493;2.4995299560273034;2.306985329285199
20180426;3.3829473824457703;2.8314823959979707;2.8396366790594336;2.6739181419054896
20180427;2.93866079833727;2.5737050131412413;2.5697353594420136;2.191862875808843
20180428;2.961630155435427;2.62133685502835;2.6397339923569967;2.1817607001970907
20180429;2.40598272148359;2.0637035161610164;2.074412477131233;1.8978541936842206
20180430;2.31566330569067;1.9103278456329191;1.9232243101787423;1.6330825419343886
20180501;2.4918434556801397;2.020155838279386;2.21066711683448;2.0269206337496035
20180502;2.73725906795725;2.5034023329119486;2.5129311693556082;2.1059521944112927
20180503;2.90453821713379;2.6736074692650376;2.676369188041648;2.0037752211610007
20180504;3.40365747654986;3.0626194653988197;3.0723268651400963;-9999
