TIMESTAMP;ET;T_CEC;T_REA;T_FVS
20171110;-9999;-9999;-9999;-9999
20171111;0.668632348055669;0.1541042530577754;-9999;-9999
20171112;0.43485555248483765;0.1473347706529151;0.18378702972421448;0.2912098014656424
20171113;0.4284771735115969;0.15261462923881264;0.15672522287948784;-9999
20171114;0.7966905839168666;0.15478312354061352;0.19511832684567076;0.34423874456992104
20171115;0.6741138303145527;0.12574036514635795;-9999;-9999
20171116;-9999;-9999;-9999;-9999
20171117;0.7942573835401526;0.1467211375939785;-9999;-9999
20171118;0.5005831573718053;0.15443524029706124;0.2031879555582626;0.38712597365991713
20171119;0.4985731634957003;0.13524113618676759;0.2152524055537335;0.31794038996563956
20171120;0.32320909845401996;0.045460123089847336;0.04893764128421796;0.19170135731231316
20171121;0.24121063247183136;0.059909316604708766;0.08174597061773364;-9999
20171122;0.38649220000246265;0.08896732961492984;-9999;-9999
20171123;0.2121999071006;0.061238182543467565;0.06968581403992807;-9999
20171124;0.4180416948293853;0.09633342338020569;-9999;-9999
20171125;0.3344979299394337;0.131010763117666;0.10817492948221144;-9999
20171126;-9999;-9999;-9999;-9999
20171127;0.7143738894959427;0.2883315850714706;0.31838630989044603;-9999
20171128;0.3870071248021023;0.15224269302131738;-9999;-9999
20171129;-9999;-9999;-9999;-9999
20171130;0.4002728697006417;0.10358663112783101;-9999;-9999
20171201;0.328497872435209;0.14883820286075491;-9999;-9999
20171202;0.277440683492566;0.12249340154164254;-9999;-9999
20171203;0.6647376942539768;0.2708015424658523;0.30444012753184035;0.4091799448967722
20171204;0.6976838600113325;0.31098876487520244;0.3170978445144023;-9999
20171205;0.37552838803784466;0.2240038408618663;0.22095187792626447;0.26006341233366703
20171206;0.31740287459357797;0.14370995325820185;0.18336941626947179;-9999
20171207;0.3150483990713193;0.14264143007188695;0.1524647659669765;-9999
20171208;0.3053565529277403;0.11147320561849776;0.11432528906021049;-9999
20171209;0.24962363205617266;0.12887855961458547;0.13923281472997726;-9999
20171210;0.2843756847796413;0.14297235461467508;0.1547423430905565;-9999
20171211;0.295510062057178;0.14815201042651494;0.16925742445777253;-9999
20171212;0.29072525021406764;0.1751233169921831;0.19581697555071556;-9999
20171213;0.3615880145206743;0.2079450108550728;0.22856076557339802;-9999
20171214;0.35136351773452534;0.19448498034310874;0.20948936823259282;-9999
20171215;0.2607628122761273;0.12171465665749906;0.1440351296292156;-9999
20171216;1.1096981173108433;0.350244068598745;0.26520754045563316;-9999
20171217;0.26560496962042734;0.15765130901682353;0.17225066901914493;-9999
20171218;0.31978018498754;0.13111069782011903;0.1437721371882242;-9999
20171219;0.28449965159206236;0.12609100601159998;0.13078787063594072;-9999
20171220;0.8613134315744446;0.24301493485989348;0.25687738287751305;-9999
20171221;0.43666715150219765;0.3367702002994684;0.35136348781837484;-9999
20171222;0.32239196951689536;0.17383394108287398;0.18715382598915647;-9999
20171223;0.23195442163374733;0.09980683317554805;0.12798620212796727;-9999
20171224;0.24281970867644967;0.09635933136088717;0.11028725918640436;0.1753985313239513
20171225;0.23151565002046337;0.1071589988903774;0.12435933846303769;-9999
20171226;0.5451888141559427;0.11286739234414599;0.14414074433310686;-9999
20171227;0.341392930198197;0.11881510246801809;0.16460364455559756;-9999
20171228;0.2998192730922453;0.15008833059579235;0.1815954743551675;-9999
20171229;0.33814764548136406;0.0964876114239575;0.1603131890581806;-9999
20171230;0.27224380689611666;0.10046747493524018;0.12057229394509349;-9999
20171231;0.2677364227195887;0.14549521699556148;0.15584726567932988;-9999
20180101;0.26746278901225334;0.11783430026462596;0.1318766555384033;-9999
20180102;0.12261638822060966;0.04332917597968059;0.038621938714486485;-9999
20180103;0.20160538179700901;0.09041408978059319;0.10550832794352566;-9999
20180104;0.710703543095686;0.42000171393284375;0.40937597713902335;-9999
20180105;0.41798676646244265;0.14071250409526004;-9999;-9999
20180106;0.785152879856747;0.16163951979989005;0.2657335517096373;-9999
20180107;0.13986061244824566;0.03166836152718135;-9999;-9999
20180108;-9999;-9999;-9999;-9999
20180109;-9999;-9999;-9999;-9999
20180110;0.7807210423861476;0.42292043057594036;0.4459992664013319;-9999
20180111;0.5163291963066793;0.2758159200651479;0.3115212258776728;-9999
20180112;0.491483147514606;0.11243115601386414;0.12228975664476065;-9999
20180113;0.22320590221523498;0.08734058883029945;0.09600749664280359;-9999
20180114;0.25925245862846263;0.07156947941664792;0.08625000531195523;-9999
20180115;0.365902649807666;0.17530096216604338;0.12920524542169723;-9999
20180116;-9999;-9999;-9999;-9999
20180117;0.348653370458367;0.19139148490961724;0.19936177518377796;-9999
20180118;0.39829017572972364;0.24862160889192322;0.24681777311541575;0.2538718086839653
20180119;0.9991583641062514;0.38066976476211345;0.4491166614247186;-9999
20180120;0.7443136268314129;0.37694701619745186;0.39529600303302326;-9999
20180121;0.6634417289346506;0.36661857817840515;0.3695310090017869;-9999
20180122;0.5897393758691813;0.26920825052731323;0.2891776760533236;-9999
20180123;0.5725115012117133;0.3023286804697252;0.3617474566462708;-9999
20180124;0.4369320276474123;0.24841665764988796;0.2354263739938438;-9999
20180125;0.8305536895381778;0.4806402069228679;0.46897121500525124;-9999
20180126;0.7404381118356979;0.37997688798556545;0.4259487612528351;0.372682674939693
20180127;0.920557132898169;0.4460175193981968;0.4382221652413838;0.6386587939902773
20180128;0.6326428792959305;0.4644721780089646;0.5307210798129286;-9999
20180129;0.273240514913987;0.1567117246186438;0.17868754824771432;-9999
20180130;0.5211746078177043;0.2837429735670335;0.3178255194749174;-9999
