TIMESTAMP;ET;T_CEC;T_REA;T_FVS
20180409;-9999;-9999;-9999;-9999
20180410;2.9419735083676635;2.481587375410625;2.4467939230842304;2.293908354464816
20180411;2.8167857112254864;2.297096912545034;2.2793985679308713;2.225215688075129
20180412;2.8335484235350736;2.4504174951737494;2.4630170101184046;-9999
20180413;2.0509259572367267;1.9498218948457222;1.9578210141006045;1.6598554785678465
20180414;1.78726231682513;0.5411628232187583;0.7726695196864414;1.0264685323351712
20180415;1.7218194991174167;0.6645255106787182;0.7357605569617038;1.0541855778062201
20180416;1.48956745148146;0.7903197671217855;0.7982820116279531;-9999
20180417;1.94871890605111;1.2734415179323904;1.3787696102797335;1.497543513349856
20180418;1.23226609753711;0.6355207424063691;0.6746608308225344;-9999
20180419;2.0854264580340938;1.5089345146381639;1.5352560449593997;-9999
20180420;1.6981535999134767;1.200779424656308;1.2345912891885875;1.3110504351976566
20180421;2.13862111073911;1.45732038269385;1.5245380515072011;1.7028551535787624
20180422;2.1312901849788;1.2917416683807084;1.3529094915684186;-9999
20180423;2.4299683054658368;1.543020906115183;1.628236808398879;-9999
20180424;2.61773420373594;1.8729445705059928;1.8717738793119367;1.9502698694896876
20180425;2.893848346820137;2.3930664625583007;2.398667042714646;-9999
20180426;2.9196283226492565;2.3897261763071826;2.4065880791402208;2.3919973840508746
20180427;2.4972518016626832;2.10892720053668;2.125269299538981;-9999
20180428;2.471320543064307;2.1586607190685636;2.173298226321694;2.2991983349280334
20180429;1.98022253433648;1.6482014058990235;1.6587262072678666;-9999
20180430;1.8843760966081067;1.4958115957682647;1.5005716830764508;1.8250653898133058
20180501;2.1085592757185565;1.8545096768389262;1.849286759511224;-9999
20180502;2.283680779473593;2.1128051305559628;2.112274841418716;1.9982872609044149
20180503;2.67073506180046;2.2743464754048244;2.281299372985679;-9999
20180504;2.701981922415913;2.423410651393785;2.4116450294881067;-9999
20180505;2.50181006219221;2.3481063210519513;2.346519600125385;-9999
20180506;-9999;-9999;-9999;-9999
20180507;-9999;-9999;-9999;-9999
20180508;-9999;-9999;-9999;-9999
20180509;-9999;-9999;-9999;-9999
20180510;-9999;-9999;-9999;-9999
20180511;-9999;-9999;-9999;-9999
20180512;-9999;-9999;-9999;-9999
20180513;-9999;-9999;-9999;-9999
20180514;-9999;-9999;-9999;-9999
20180515;-9999;-9999;-9999;-9999
20180516;-9999;-9999;-9999;-9999
20180517;-9999;-9999;-9999;-9999
20180518;-9999;-9999;-9999;-9999
20180519;4.385756517821623;4.0543745497310875;4.064047218926899;3.0804563655720405
20180520;3.587796681441697;3.2953155963352643;3.2988253412048594;2.7440546705782016
20180521;3.2573074855102235;3.097729068435034;3.115337480542296;-9999
20180522;3.9358409155200733;3.645711792245223;3.657853695406228;2.8576619682443005
20180523;4.02197857581472;3.7356227567848017;3.7352622731893512;2.661518285373539
20180524;3.727594864268323;3.425439885244128;3.427917133922316;2.8337221597138753
20180525;2.2025226274834337;1.8348027436857473;1.8188715313525492;1.2977637813446719
20180526;3.3813334027220203;3.1663019125145015;3.170207437019014;-9999
20180527;3.8730362248435832;3.8106884954319753;3.794550749142967;2.6460558439559687
20180528;4.523157773997316;4.294232661791588;4.292706392159142;3.3802430782734105
20180529;5.395800400623116;5.052030306439093;5.061704982884074;3.717975184087578
20180530;5.844818126192959;5.399841094825514;5.383864748879576;-9999
20180531;4.270088622874817;3.947705448882738;3.953184914890361;3.2305675409937624
20180601;4.276229258333186;4.147374003682972;4.167324951847425;3.2459699404230076
20180602;4.540004402431424;4.471409678657227;4.4746427016213;3.254421283102874
20180603;5.044516185468324;4.731551396219033;4.692229323417644;3.376779131382813
20180604;6.74401913532931;6.18555800192001;6.19382583404671;-9999
20180605;5.42247057256274;5.0829342818494245;5.122484822953115;-9999
20180606;5.2394939531202205;4.943906157561229;4.953161465884182;-9999
20180607;4.518738258862027;4.217763489946748;4.226253091437307;3.508542626286843
20180608;5.3346840992835665;5.076504252633956;5.088125657384039;4.0934605864661675
20180609;4.645528210314136;4.294526007233286;4.287861316485846;3.672054339607717
20180610;4.746819502198879;4.524341345398746;4.519090244359408;-9999
20180611;4.91944803747145;4.771302985431398;4.80187158793998;-9999
20180612;5.462145466389949;5.309555322215963;5.319018052594226;3.844372341077576
20180613;5.422325533829699;5.155046892707298;5.140503142397955;3.766699225184422
20180614;5.43233825077069;4.957768454585754;4.964156496717663;4.007593964768592
20180615;4.8133475785971;4.522275034911579;4.516938738097388;4.047656135309062
20180616;4.297195785922956;4.083099173970149;4.07315521048907;-9999
20180617;3.2689907460789467;3.2121523070382096;3.267338571902448;-9999
20180618;4.55798110999285;4.39455573743993;4.393300042465208;3.301306539701301
20180619;5.102920492173567;4.9421792439588925;4.974289910676028;3.654942897662458
20180620;5.622350632097574;5.304648607131714;5.3039063133080075;3.946574078479147
20180621;5.38777119540546;5.208622972102059;5.199667555383368;-9999
20180622;5.294025793127113;5.156341663508431;5.170834214344891;-9999
20180623;5.495669984203103;5.08894722770023;5.056429325505171;4.491215072135103
20180624;5.331112173818723;5.111811378540514;5.177532018895135;-9999
20180625;4.661617723762361;4.526409630471686;4.52576928146032;-9999
20180626;5.342650501362324;5.0893055144490065;5.079869832968345;-9999
20180627;5.4320926949651875;5.224082909384786;5.22336005813764;-9999
20180628;4.77148233651298;4.578423162237462;4.582381014563549;-9999
20180629;4.84728042258745;4.692688152726678;4.738022510889479;3.809011264811874
20180630;4.949843383306519;4.799682322448233;4.805395000133526;3.910223306380708
20180701;4.907036117081753;4.700562687905283;4.769785173690295;-9999
20180702;4.29220868804522;4.144244207845549;4.151732712881584;-9999
20180703;4.2334191401640595;4.071506030854619;4.06332355819153;-9999
20180704;4.104168452580297;3.9343965614189975;3.983131806814795;3.2682160776634945
